id,product_type,brand,model,year,price,CPU,hard disk,screen,cellular network,num cores,camera resolution
57548128,laptop,Apple,MacBook 2,2022,5052,Intel Core i5,2000,19,,,
61469356,laptop,Apple,MacBook 1,2021,5759,Intel Core i3,1000,21,,,
13329829,laptop,Apple,MacBook 2 Pro,2022,5620,Intel Core i3,512,19,,,
91239704,laptop,HP,DW 13,2020,3060,Intel Core i7,256,17,,,
98703492,laptop,Apple,MacBook 2,2022,5424,Intel Core i7,512,19,,,
80390186,laptop,Apple,MacBook 1 Pro,2021,5684,Intel Core i7,256,17,,,
27757026,laptop,Asos,VIVO 16,2018,7527,Intel Core i5,2000,24,,,
88339359,laptop,Asos,VIVO 16 Pro,2018,5921,Intel Core i3,1000,24,,,
60543957,laptop,HP,DW 12,2019,4007,Intel Core i5,1000,24,,,
22948851,laptop,Apple,MacBook 2,2022,5521,Intel Core i3,256,12,,,
32132476,laptop,Asos,VIVO 20,2022,2715,Intel Core i3,1000,24,,,
59439687,laptop,Asos,VIVO 17 Pro,2019,5493,Intel Core i3,2000,19,,,
39814316,laptop,Apple,MacBook 2,2022,5146,Intel Core i3,2000,8,,,
28902129,laptop,Asos,VIVO 20,2022,3755,Intel Core i3,2000,19,,,
65177596,laptop,Lenovo,IdeaPad 6,2019,4485,Intel Core i7,512,8,,,
36990588,laptop,Lenovo,IdeaPad 9,2022,4493,Intel Core i5,1000,21,,,
80559580,laptop,Lenovo,IdeaPad 8,2021,4202,Intel Core i7,512,8,,,
24921543,laptop,Lenovo,IdeaPad 6,2019,3834,Intel Core i3,1000,17,,,
94043916,laptop,Apple,MacBook 1,2021,5079,Intel Core i5,256,21,,,
80748903,laptop,HP,DW 11,2018,5650,Intel Core i5,256,21,,,
62874963,laptop,Asos,VIVO 19,2021,2625,Intel Core i5,256,21,,,
30943875,laptop,Asos,VIVO 20,2022,3295,Intel Core i3,1000,10,,,
42064540,laptop,Lenovo,IdeaPad 7 Pro,2020,4143,Intel Core i7,2000,10,,,
70022799,laptop,Lenovo,IdeaPad 6,2019,4732,Intel Core i3,2000,12,,,
99773154,laptop,Apple,MacBook 2,2022,5570,Intel Core i5,2000,12,,,
22809435,laptop,Asos,VIVO 17,2019,4132,Intel Core i5,2000,8,,,
86928223,laptop,Asos,VIVO 18,2020,3439,Intel Core i3,1000,19,,,
89147662,laptop,Asos,VIVO 19 Pro,2021,4754,Intel Core i5,512,8,,,
55735698,laptop,Asos,VIVO 16,2018,5366,Intel Core i5,2000,17,,,
19750030,laptop,HP,DW 13,2020,4325,Intel Core i7,2000,12,,,
13963110,laptop,Asos,VIVO 15,2017,5935,Intel Core i3,512,21,,,
72374372,laptop,Asos,VIVO 17,2019,3424,Intel Core i7,1000,19,,,
92743163,laptop,HP,DW 15,2022,1598,Intel Core i7,2000,19,,,
64753367,laptop,Apple,MacBook 1,2021,5850,Intel Core i3,256,21,,,
18974542,laptop,HP,DW 13,2020,1996,Intel Core i3,512,17,,,
23553991,laptop,Apple,MacBook 2,2022,5935,Intel Core i7,2000,8,,,
16912811,laptop,Apple,MacBook 1,2021,5052,Intel Core i3,256,12,,,
13910083,laptop,Apple,MacBook 1,2021,5808,Intel Core i7,512,24,,,
64412884,laptop,Asos,VIVO 19,2021,4758,Intel Core i7,1000,19,,,
29329236,laptop,Asos,VIVO 17,2019,3378,Intel Core i7,2000,19,,,
78396010,laptop,HP,DW 14,2021,3589,Intel Core i7,256,17,,,
31440331,laptop,Apple,MacBook 1,2021,5781,Intel Core i3,1000,12,,,
67017849,laptop,Apple,MacBook 1,2021,5830,Intel Core i7,512,19,,,
69374241,laptop,Apple,MacBook 1,2021,5327,Intel Core i3,256,17,,,
95933787,laptop,Asos,VIVO 18,2020,4005,Intel Core i3,256,21,,,
66221756,laptop,HP,DW 11,2018,6791,Intel Core i3,512,24,,,
99764141,laptop,Asos,VIVO 18,2020,3688,Intel Core i5,1000,12,,,
82606142,laptop,HP,DW 15,2022,1611,Intel Core i7,256,12,,,
56787316,laptop,Lenovo,IdeaPad 8,2021,5275,Intel Core i5,2000,21,,,
60193374,laptop,Lenovo,IdeaPad 5 Pro,2018,9169,Intel Core i5,512,12,,,
64395324,laptop,HP,DW 10 Pro,2017,5520,Intel Core i3,512,8,,,
57005815,laptop,Apple,MacBook 2,2022,5857,Intel Core i3,2000,12,,,
58800601,laptop,Asos,VIVO 19,2021,3042,Intel Core i5,256,12,,,
86494009,laptop,Apple,MacBook 1,2021,5142,Intel Core i5,1000,12,,,
60263325,laptop,HP,DW 14,2021,4450,Intel Core i3,1000,17,,,
64062373,laptop,Apple,MacBook 1,2021,5694,Intel Core i5,1000,21,,,
56564405,laptop,Asos,VIVO 18,2020,4937,Intel Core i7,256,17,,,
89562500,laptop,Lenovo,IdeaPad 9,2022,4105,Intel Core i7,1000,21,,,
60259365,laptop,Lenovo,IdeaPad 5,2018,8254,Intel Core i5,1000,12,,,
61037372,laptop,Lenovo,IdeaPad 6,2019,5372,Intel Core i7,2000,24,,,
45687285,laptop,Lenovo,IdeaPad 7,2020,4262,Intel Core i3,256,17,,,
68429800,laptop,Asos,VIVO 19,2021,4574,Intel Core i7,2000,24,,,
97885357,laptop,Apple,MacBook 2,2022,5857,Intel Core i7,2000,21,,,
36434574,laptop,Lenovo,IdeaPad 8,2021,5297,Intel Core i3,1000,19,,,
59967445,laptop,Lenovo,IdeaPad 5,2018,7027,Intel Core i7,2000,12,,,
86402378,laptop,Asos,VIVO 20 Pro,2022,3792,Intel Core i5,1000,24,,,
31857466,laptop,Lenovo,IdeaPad 7,2020,4822,Intel Core i5,512,12,,,
22879891,laptop,Apple,MacBook 2,2022,5282,Intel Core i7,512,12,,,
67397238,laptop,Apple,MacBook 2,2022,5706,Intel Core i5,256,19,,,
55845858,laptop,Lenovo,IdeaPad 8,2021,4910,Intel Core i7,256,24,,,
73668208,laptop,Asos,VIVO 16,2018,5956,Intel Core i5,1000,8,,,
13757978,laptop,Apple,MacBook 2 Pro,2022,5518,Intel Core i3,2000,10,,,
22797644,laptop,Asos,VIVO 17 Pro,2019,3042,Intel Core i7,512,21,,,
14443072,laptop,Asos,VIVO 16 Pro,2018,7983,Intel Core i5,512,21,,,
10928568,laptop,Lenovo,IdeaPad 7,2020,3919,Intel Core i7,512,21,,,
90868327,laptop,Apple,MacBook 2,2022,5203,Intel Core i7,1000,12,,,
41769986,laptop,Apple,MacBook 2,2022,5240,Intel Core i7,1000,8,,,
27827345,laptop,Asos,VIVO 15,2017,6871,Intel Core i5,256,8,,,
57319193,laptop,HP,DW 14,2021,3700,Intel Core i3,512,24,,,
35742266,laptop,Lenovo,IdeaPad 6,2019,4776,Intel Core i7,256,12,,,
58249935,laptop,HP,DW 13,2020,3162,Intel Core i7,2000,12,,,
15285578,laptop,HP,DW 13 Pro,2020,3989,Intel Core i5,2000,24,,,
73041597,laptop,Lenovo,IdeaPad 7 Pro,2020,5366,Intel Core i7,256,12,,,
58575640,laptop,Apple,MacBook 1,2021,5159,Intel Core i5,2000,19,,,
96624551,laptop,Apple,MacBook 1,2021,5622,Intel Core i7,512,21,,,
24495077,laptop,Asos,VIVO 20 Pro,2022,3753,Intel Core i3,256,19,,,
55100512,laptop,Lenovo,IdeaPad 6 Pro,2019,5348,Intel Core i5,512,21,,,
68027064,laptop,Apple,MacBook 2,2022,5946,Intel Core i7,512,10,,,
67776588,laptop,Asos,VIVO 16,2018,6899,Intel Core i3,2000,12,,,
97309719,laptop,Asos,VIVO 15,2017,7699,Intel Core i5,256,24,,,
60270774,laptop,Lenovo,IdeaPad 6,2019,4065,Intel Core i5,2000,19,,,
58570289,laptop,Asos,VIVO 17 Pro,2019,4957,Intel Core i5,256,17,,,
95466170,laptop,HP,DW 12 Pro,2019,3609,Intel Core i3,512,21,,,
53287458,laptop,Asos,VIVO 18 Pro,2020,3365,Intel Core i3,1000,10,,,
42084622,laptop,HP,DW 12,2019,3794,Intel Core i3,1000,8,,,
70911228,laptop,HP,DW 12 Pro,2019,2554,Intel Core i3,512,8,,,
63192693,laptop,Lenovo,IdeaPad 5 Pro,2018,8204,Intel Core i3,256,19,,,
81289986,laptop,Apple,MacBook 1,2021,5199,Intel Core i5,2000,19,,,
38837755,laptop,Asos,VIVO 15 Pro,2017,7172,Intel Core i3,2000,8,,,
45062080,laptop,Lenovo,IdeaPad 5,2018,7794,Intel Core i3,2000,17,,,
